================================================================================
PARITY TEST REPORT
================================================================================
Generated: 2025-12-05T02:33:41.324233
Git commit: ff660ecea2b49dc980cd3812efdee5a455d47103

Total tests: 1548
Passed (strict): 700/1548
Passed (tolerant): 1548/1548
Event failures: 0/1548
Value failures: 848/1548
Errors: 0/1548


================================================================================
ALL RESULTS
================================================================================
model,scenario,country,status,event_parity,value_parity,rust_events,python_events,max_rel_diff
model,asthma_cr1,CMR,passed_tolerant,True,False,16084,16084,0.045359
model,asthma_cr1,CAN,passed_tolerant,True,False,16084,16084,0.041311
model,asthma_cr1,CPV,passed,True,True,16084,16084,0.006068
model,asthma_cr1,CAF,passed,True,True,16084,16084,0.002308
model,asthma_cr1,TCD,passed_tolerant,True,False,16084,16084,0.035909
model,asthma_cr1,CHL,passed_tolerant,True,False,16084,16084,0.026027
model,asthma_cr1,CHN,passed_tolerant,True,False,16084,16084,0.057333
model,asthma_cr1,COL,passed_tolerant,True,False,16084,16084,0.013246
model,asthma_cr1,COM,passed_tolerant,True,False,16084,16084,0.011118
model,asthma_cr1,COG,passed_tolerant,True,False,16084,16084,0.029315
model,asthma_cr1,COD,passed_tolerant,True,False,16084,16084,0.027514
model,asthma_cr1,CRI,passed_tolerant,True,False,16084,16084,0.019704
model,asthma_cr1,CIV,passed_tolerant,True,False,16084,16084,0.028044
model,asthma_cr1,HRV,passed_tolerant,True,False,16084,16084,0.041727
model,asthma_cr1,CUB,passed_tolerant,True,False,16084,16084,0.024185
model,asthma_cr1,CYP,passed_tolerant,True,False,16084,16084,0.012985
model,asthma_cr1,CZE,passed_tolerant,True,False,16084,16084,0.026625
model,asthma_cr1,DNK,passed_tolerant,True,False,16084,16084,0.014767
model,asthma_cr1,DJI,passed_tolerant,True,False,16084,16084,0.031843
model,asthma_cr1,DOM,passed,True,True,16084,16084,0.006220
model,asthma_cr1,EGY,passed,True,True,16084,16084,0.003467
model,asthma_cr1,SLV,passed,True,True,16084,16084,0.005545
model,asthma_cr1,GNQ,passed,True,True,16084,16084,0.003925
model,asthma_cr1,ERI,passed,True,True,16084,16084,0.005347
model,asthma_cr1,EST,passed,True,True,16084,16084,0.009994
model,asthma_cr1,ETH,passed_tolerant,True,False,16084,16084,1.000000
model,asthma_cr1,FJI,passed,True,True,16084,16084,0.003266
model,asthma_cr1,FIN,passed_tolerant,True,False,16084,16084,0.032678
model,asthma_cr1,FRA,passed_tolerant,True,False,16084,16084,0.068872
model,asthma_cr1,GAB,passed,True,True,16084,16084,0.006845
model,asthma_cr1,GMB,passed,True,True,16084,16084,0.004084
model,asthma_cr1,GEO,passed_tolerant,True,False,16084,16084,0.020973
model,asthma_cr1,DEU,passed_tolerant,True,False,16084,16084,0.023552
model,asthma_cr1,GHA,passed_tolerant,True,False,16084,16084,0.010200
model,asthma_cr1,GRC,passed_tolerant,True,False,16084,16084,0.031220
model,asthma_cr1,GTM,passed_tolerant,True,False,16084,16084,0.011100
model,asthma_cr1,GIN,passed_tolerant,True,False,16084,16084,0.067914
model,asthma_cr1,GNB,passed_tolerant,True,False,16084,16084,0.023186
model,asthma_cr1,GUY,passed,True,True,16084,16084,0.004298
model,asthma_cr1,HTI,passed,True,True,16084,16084,0.001986
model,asthma_cr1,HND,passed_tolerant,True,False,16084,16084,0.031042
model,asthma_cr1,HUN,passed_tolerant,True,False,16084,16084,0.021073
model,asthma_cr1,ISL,passed,True,True,16084,16084,0.003165
model,asthma_cr1,IND,passed_tolerant,True,False,16084,16084,0.078978
model,asthma_cr1,IDN,passed_tolerant,True,False,16084,16084,0.099910
model,asthma_cr1,IRN,passed_tolerant,True,False,16084,16084,0.068872
